comment_num,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
206,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333
207,0.033333333,0.033333333,0.366666667,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.366666667
208,0.025,0.025,0.025,0.025,0.775,0.025,0.025,0.025,0.025,0.025
209,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.525
210,0.016666667,0.183333333,0.016666667,0.35,0.35,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667
211,0.025,0.025,0.025,0.025,0.525,0.025,0.025,0.025,0.025,0.275
212,0.35,0.183333333,0.183333333,0.016666667,0.016666667,0.183333333,0.016666667,0.016666667,0.016666667,0.016666667
213,0.281818182,0.1,0.009090909,0.1,0.009090909,0.009090909,0.009090909,0.009090909,0.009090909,0.463636364
214,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
215,0.02,0.02,0.42,0.02,0.22,0.02,0.02,0.22,0.02,0.02
216,0.02,0.62,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02
217,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
218,0.025,0.025,0.275,0.275,0.025,0.275,0.025,0.025,0.025,0.025
219,0.00625,0.13125,0.31875,0.00625,0.44375,0.00625,0.00625,0.00625,0.06875,0.00625
220,0.025,0.025,0.025,0.025,0.775,0.025,0.025,0.025,0.025,0.025
221,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05
222,0.275,0.025,0.025,0.025,0.025,0.025,0.525,0.025,0.025,0.025
223,0.011111111,0.011111111,0.455555556,0.011111111,0.011111111,0.455555556,0.011111111,0.011111111,0.011111111,0.011111111
224,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55
225,0.007692308,0.007692308,0.161538462,0.007692308,0.238461538,0.084615385,0.007692308,0.238461538,0.238461538,0.007692308
226,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.22
227,0.025,0.025,0.025,0.025,0.025,0.525,0.275,0.025,0.025,0.025
228,0.0125,0.0125,0.0125,0.0125,0.6375,0.0125,0.0125,0.0125,0.0125,0.2625
229,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
230,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.22
231,0.025,0.025,0.025,0.025,0.025,0.525,0.025,0.275,0.025,0.025
232,0.016666667,0.016666667,0.35,0.35,0.016666667,0.016666667,0.016666667,0.183333333,0.016666667,0.016666667
233,0.006666667,0.006666667,0.006666667,0.273333333,0.34,0.006666667,0.006666667,0.006666667,0.006666667,0.34
234,0.007692308,0.315384615,0.007692308,0.007692308,0.007692308,0.007692308,0.084615385,0.007692308,0.007692308,0.546153846
235,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
236,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.525,0.025,0.025
237,0.003030303,0.003030303,0.003030303,0.578787879,0.063636364,0.003030303,0.003030303,0.336363636,0.003030303,0.003030303
238,0.7,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
239,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02
240,0.014285714,0.014285714,0.157142857,0.014285714,0.014285714,0.3,0.442857143,0.014285714,0.014285714,0.014285714
241,0.016666667,0.016666667,0.016666667,0.183333333,0.516666667,0.016666667,0.016666667,0.016666667,0.183333333,0.016666667
242,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333
243,0.033333333,0.033333333,0.366666667,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.366666667,0.033333333
244,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55
245,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02
246,0.025,0.525,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275
247,0.025,0.025,0.275,0.025,0.025,0.025,0.525,0.025,0.025,0.025
248,0.7,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
249,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025,0.025
250,0.033333333,0.033333333,0.033333333,0.366666667,0.033333333,0.033333333,0.033333333,0.366666667,0.033333333,0.033333333
