comment_num,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7
139,2.08E-02,2.08E-02,2.08E-02,2.08E-02,4.37E-01,4.37E-01,2.08E-02,2.08E-02
140,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02
141,1.47E-02,1.47E-02,1.62E-01,4.56E-01,3.09E-01,1.47E-02,1.47E-02,1.47E-02
142,4.82E-02,1.36E-01,4.39E-03,4.39E-03,4.39E-03,7.94E-01,4.39E-03,4.39E-03
143,1.41E-01,1.28E-02,1.28E-02,3.97E-01,2.69E-01,1.41E-01,1.28E-02,1.28E-02
144,1.02E-02,1.02E-02,1.02E-02,1.02E-02,7.24E-01,2.14E-01,1.02E-02,1.02E-02
145,6.76E-03,6.76E-03,6.76E-03,6.76E-03,8.85E-01,6.76E-03,6.76E-03,7.43E-02
146,4.39E-03,4.82E-02,4.39E-03,4.39E-03,3.11E-01,3.11E-01,4.39E-03,3.11E-01
147,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02
148,2.63E-02,2.63E-02,2.63E-02,8.16E-01,2.63E-02,2.63E-02,2.63E-02,2.63E-02
149,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02
150,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02
151,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02
152,1.47E-02,1.47E-02,1.47E-02,1.62E-01,1.47E-02,1.47E-02,7.50E-01,1.47E-02
153,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.89E-01,5.53E-01,2.63E-02
154,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,8.16E-01,2.63E-02
155,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.89E-01,5.53E-01
156,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01
157,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.89E-01,5.53E-01,2.63E-02,2.63E-02
158,1.72E-02,1.72E-02,1.72E-02,1.72E-02,1.72E-02,7.07E-01,1.90E-01,1.72E-02
159,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,8.54E-01,2.08E-02,2.08E-02
160,1.28E-02,1.28E-02,1.28E-02,7.82E-01,1.28E-02,1.28E-02,1.28E-02,1.41E-01
161,1.28E-02,1.28E-02,1.28E-02,1.28E-02,3.97E-01,1.28E-02,2.69E-01,2.69E-01
162,1.62E-01,6.03E-01,1.47E-02,1.47E-02,1.47E-02,1.62E-01,1.47E-02,1.47E-02
163,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02,3.57E-02
164,6.76E-03,6.76E-03,6.15E-01,6.76E-03,6.76E-03,3.45E-01,6.76E-03,6.76E-03
165,1.72E-02,1.72E-02,1.90E-01,1.72E-02,3.62E-01,3.62E-01,1.72E-02,1.72E-02
166,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,8.54E-01,2.08E-02,2.08E-02
167,2.63E-02,2.63E-02,2.63E-02,5.53E-01,2.63E-02,2.63E-02,2.89E-01,2.63E-02
168,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01,5.56E-02
169,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,8.54E-01,2.08E-02
170,1.47E-02,1.62E-01,1.47E-02,1.47E-02,1.47E-02,1.47E-02,1.62E-01,6.03E-01
171,2.08E-02,2.08E-02,2.08E-02,2.08E-02,8.54E-01,2.08E-02,2.08E-02,2.08E-02
172,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,8.54E-01
173,3.47E-01,8.47E-03,3.47E-01,8.47E-03,2.63E-01,8.47E-03,8.47E-03,8.47E-03
174,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.89E-01,5.53E-01,2.63E-02
175,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,4.37E-01,4.37E-01,2.08E-02
176,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,5.53E-01,2.63E-02,2.89E-01
177,3.57E-02,3.93E-01,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.93E-01,3.57E-02
178,5.56E-02,5.56E-02,5.56E-02,6.11E-01,5.56E-02,5.56E-02,5.56E-02,5.56E-02
179,1.28E-02,1.41E-01,1.28E-02,1.28E-02,1.28E-02,1.28E-02,6.54E-01,1.41E-01
180,1.28E-02,1.28E-02,1.28E-02,1.28E-02,2.69E-01,1.41E-01,5.26E-01,1.28E-02
181,9.26E-03,9.26E-03,9.26E-03,9.26E-03,9.26E-03,7.50E-01,9.26E-03,1.94E-01
182,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,8.54E-01,2.08E-02,2.08E-02
183,1.72E-02,1.72E-02,1.72E-02,1.72E-02,5.34E-01,3.62E-01,1.72E-02,1.72E-02
184,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,8.16E-01
185,4.18E-01,1.02E-02,1.02E-02,1.02E-02,1.12E-01,1.02E-02,1.02E-02,4.18E-01
186,5.56E-02,5.56E-02,6.11E-01,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02
187,1.02E-02,1.02E-02,1.02E-02,1.12E-01,4.18E-01,1.02E-02,4.18E-01,1.02E-02
188,1.72E-02,1.90E-01,1.72E-02,1.72E-02,1.72E-02,1.72E-02,1.72E-02,7.07E-01
189,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01
190,1.14E-02,1.14E-02,2.39E-01,1.14E-02,1.25E-01,1.14E-02,4.66E-01,1.25E-01
191,9.26E-03,4.72E-01,1.02E-01,1.02E-01,9.26E-03,9.26E-03,9.26E-03,2.87E-01
192,2.08E-02,2.08E-02,2.08E-02,2.08E-02,4.37E-01,2.08E-02,2.08E-02,4.37E-01
193,1.47E-02,1.47E-02,6.03E-01,1.47E-02,3.09E-01,1.47E-02,1.47E-02,1.47E-02
194,1.72E-02,1.72E-02,1.72E-02,1.72E-02,1.90E-01,7.07E-01,1.72E-02,1.72E-02
195,1.02E-02,1.02E-02,1.02E-02,2.14E-01,1.02E-02,3.16E-01,1.12E-01,3.16E-01
196,6.11E-01,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02
197,1.25E-01,1.25E-01,1.25E-01,1.25E-01,1.25E-01,1.25E-01,1.25E-01,1.25E-01
198,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01
199,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02
200,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02
201,2.63E-02,2.63E-02,2.89E-01,2.63E-02,2.89E-01,2.89E-01,2.63E-02,2.63E-02
202,2.63E-02,2.63E-02,2.63E-02,2.89E-01,2.63E-02,5.53E-01,2.63E-02,2.63E-02
203,1.72E-02,1.90E-01,1.72E-02,1.72E-02,1.72E-02,7.07E-01,1.72E-02,1.72E-02
204,2.89E-01,2.63E-02,5.53E-01,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02
205,1.72E-02,1.72E-02,1.90E-01,1.72E-02,1.72E-02,1.72E-02,7.07E-01,1.72E-02
206,9.26E-03,9.26E-03,9.26E-03,1.94E-01,9.26E-03,1.94E-01,4.72E-01,1.02E-01
207,2.08E-02,2.08E-02,2.08E-02,2.08E-02,8.54E-01,2.08E-02,2.08E-02,2.08E-02
208,4.37E-01,2.08E-02,2.08E-02,2.29E-01,2.29E-01,2.08E-02,2.08E-02,2.08E-02
209,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01
210,2.63E-02,2.63E-02,2.63E-02,2.89E-01,2.63E-02,2.63E-02,2.63E-02,5.53E-01
211,6.33E-03,6.33E-03,6.33E-03,6.33E-03,6.33E-03,1.96E-01,6.33E-03,7.66E-01
212,2.63E-02,2.63E-02,5.53E-01,2.63E-02,2.63E-02,2.63E-02,2.89E-01,2.63E-02
213,5.56E-02,6.11E-01,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02
214,2.63E-02,2.63E-02,2.63E-02,2.89E-01,2.63E-02,2.63E-02,2.63E-02,5.53E-01
215,1.14E-02,1.14E-02,4.66E-01,1.14E-02,1.14E-02,4.66E-01,1.14E-02,1.14E-02
216,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01
217,8.59E-02,7.81E-03,7.81E-03,4.77E-01,7.81E-03,7.81E-03,7.81E-03,3.98E-01
218,6.46E-01,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.29E-01,2.08E-02,2.08E-02
219,2.89E-01,2.63E-02,2.63E-02,2.89E-01,2.63E-02,2.63E-02,2.63E-02,2.89E-01
220,1.28E-02,1.28E-02,1.28E-02,3.97E-01,5.26E-01,1.28E-02,1.28E-02,1.28E-02
221,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02
222,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,8.54E-01,2.08E-02,2.08E-02
223,2.63E-02,2.63E-02,8.16E-01,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02
224,1.72E-02,1.72E-02,1.72E-02,1.72E-02,1.72E-02,1.72E-02,1.72E-02,8.79E-01
225,6.76E-03,3.45E-01,6.76E-03,6.15E-01,6.76E-03,6.76E-03,6.76E-03,6.76E-03
226,7.81E-03,7.81E-03,7.81E-03,2.42E-01,7.81E-03,3.98E-01,2.42E-01,8.59E-02
227,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01,5.56E-02,5.56E-02,5.56E-02
228,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,5.53E-01,2.63E-02,2.89E-01
229,3.05E-03,3.05E-03,3.05E-03,5.82E-01,3.99E-01,3.05E-03,3.05E-03,3.05E-03
230,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02,3.57E-02,3.57E-02
231,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,8.54E-01,2.08E-02
232,1.47E-02,1.47E-02,3.09E-01,1.47E-02,1.47E-02,1.47E-02,6.03E-01,1.47E-02
233,1.90E-01,1.72E-02,1.90E-01,3.62E-01,1.72E-02,1.90E-01,1.72E-02,1.72E-02
234,7.50E-01,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02
235,3.57E-02,3.57E-02,3.93E-01,3.57E-02,3.93E-01,3.57E-02,3.57E-02,3.57E-02
236,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01,5.56E-02,5.56E-02
237,2.08E-02,2.29E-01,2.08E-02,2.08E-02,2.08E-02,6.46E-01,2.08E-02,2.08E-02
238,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,8.16E-01
239,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.89E-01,5.53E-01
240,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02
241,2.63E-02,2.63E-02,2.63E-02,2.63E-02,8.16E-01,2.63E-02,2.63E-02,2.63E-02
242,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02
243,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02
244,1.72E-02,1.90E-01,1.72E-02,1.72E-02,5.34E-01,1.90E-01,1.72E-02,1.72E-02
245,3.93E-01,3.57E-02,3.57E-02,3.57E-02,3.93E-01,3.57E-02,3.57E-02,3.57E-02
246,3.93E-01,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.93E-01
247,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02
248,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,8.16E-01
249,2.63E-02,2.63E-02,2.63E-02,5.53E-01,2.89E-01,2.63E-02,2.63E-02,2.63E-02
250,5.56E-02,5.56E-02,6.11E-01,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02
251,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.93E-01,3.93E-01,3.57E-02
252,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01,5.56E-02
253,3.97E-01,1.28E-02,1.28E-02,1.28E-02,5.26E-01,1.28E-02,1.28E-02,1.28E-02
254,2.63E-02,2.63E-02,8.16E-01,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02
255,3.57E-02,3.93E-01,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.93E-01
256,2.63E-02,2.63E-02,2.63E-02,2.63E-02,8.16E-01,2.63E-02,2.63E-02,2.63E-02
257,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,8.16E-01,2.63E-02,2.63E-02
258,4.66E-01,1.14E-02,1.14E-02,1.14E-02,1.14E-02,4.66E-01,1.14E-02,1.14E-02
259,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02
260,2.08E-02,2.29E-01,2.08E-02,6.46E-01,2.08E-02,2.08E-02,2.08E-02,2.08E-02
261,1.28E-02,1.28E-02,1.28E-02,1.41E-01,1.28E-02,2.69E-01,5.26E-01,1.28E-02
262,5.56E-02,5.56E-02,5.56E-02,6.11E-01,5.56E-02,5.56E-02,5.56E-02,5.56E-02
263,3.45E-01,6.76E-03,6.76E-03,5.47E-01,6.76E-03,6.76E-03,7.43E-02,6.76E-03
264,8.47E-03,1.78E-01,8.47E-03,3.47E-01,8.47E-03,1.78E-01,9.32E-02,1.78E-01
